Lmod Warning: Input module (gcc) not found, using module: GCC . . . (ICER v.) 


# Running code with OMP_NUM_THREADS= 1
#  N=  , time (s)
 1000, 2.37575
 1000, 2.37651
 1000, 2.37068
 1000, 2.38353
 1000, 2.37304
 1000, 2.36932
 1000, 2.38042
 1000, 2.38516
 1000, 2.36844
 1000, 2.38058
 1000, 2.37014
 1000, 2.36619
 1000, 2.37677
 1000, 2.38122
 1000, 2.37489
 1000, 2.37193
 1000, 2.37127
 1000, 2.3679
 1000, 2.37739
 1000, 2.38077
 1000, 2.375
 1000, 2.38008
 1000, 2.37767
 1000, 2.3758
 1000, 2.3798
 1000, 2.37961
 1000, 2.37937
 1000, 2.37465
 1000, 2.37918
 1000, 2.37067
 1000, 2.37411
 1000, 2.37348
 1000, 2.3746
 1000, 2.37978
 1000, 2.3785
 1000, 2.37599
 1000, 2.36195
 1000, 2.37896
 1000, 2.37678
 1000, 2.37152
 1000, 2.37528
 1000, 2.37866
 1000, 2.38065
 1000, 2.38358
 1000, 2.37726
 1000, 2.36467
 1000, 2.37028
 1000, 2.37901
 1000, 2.36876
 1000, 2.37299
 1000, 2.37852
 1000, 2.3722
 1000, 2.36589
 1000, 2.37807
 1000, 2.37938
 1000, 2.37067
 1000, 2.37275
 1000, 2.37023
 1000, 2.37295
 1000, 2.37167
 1000, 2.37142
 1000, 2.37774
 1000, 2.36739
 1000, 2.37554
 1000, 2.36517
 1000, 2.37018
 1000, 2.36866
 1000, 2.37011
 1000, 2.36726
 1000, 2.37004
 1000, 2.37262
 1000, 2.37656
 1000, 2.3617
 1000, 2.36689
 1000, 2.37466
 1000, 2.37408
 1000, 2.37249
 1000, 2.37653
 1000, 2.3727
 1000, 2.37381
 1000, 2.3805
 1000, 2.3724
 1000, 2.37365
 1000, 2.36709
 1000, 2.36132
 1000, 2.37375
 1000, 2.37748
 1000, 2.37774
 1000, 2.3657
 1000, 2.37702
 1000, 2.36476
 1000, 2.36829
 1000, 2.37292
 1000, 2.37205
 1000, 2.37733
 1000, 2.37545
# Running code with OMP_NUM_THREADS= 12
#  N=  , time (s)
 1000, 1.58348
 1000, 1.58821
 1000, 1.58369
 1000, 1.58305
 1000, 1.58683
 1000, 1.59094
 1000, 1.58441
 1000, 1.58723
 1000, 1.58869
 1000, 1.58423
 1000, 1.58818
 1000, 1.58592
 1000, 1.58156
 1000, 1.58571
 1000, 1.58361
 1000, 1.5841
 1000, 1.58995
 1000, 1.58168
 1000, 1.58198
 1000, 1.58762
 1000, 1.58461
 1000, 1.58569
 1000, 1.58429
 1000, 1.5871
 1000, 1.58516
 1000, 1.58792
 1000, 1.58934
 1000, 1.58615
 1000, 1.58784
 1000, 1.59081
 1000, 1.58371
 1000, 1.58547
 1000, 1.58336
 1000, 1.58659
 1000, 1.5841
 1000, 1.58753
 1000, 1.58388
 1000, 1.58476
 1000, 1.5831
 1000, 1.58213
 1000, 1.5824
 1000, 1.58849
 1000, 1.58698
 1000, 1.58738
 1000, 1.58401
 1000, 1.58238
 1000, 1.58625
 1000, 1.58775
 1000, 1.58321
 1000, 1.58766
 1000, 1.58441
 1000, 1.5835
 1000, 1.58661
 1000, 1.58412
 1000, 1.58057
 1000, 1.58308
 1000, 1.59781
 1000, 1.58151
 1000, 1.58425
 1000, 1.58494
 1000, 1.58419
 1000, 1.58419
 1000, 1.58158
 1000, 1.58444
 1000, 1.58442
 1000, 1.5878
 1000, 1.58065
 1000, 1.58602
 1000, 1.58379
 1000, 1.58413
 1000, 1.58571
 1000, 1.58133
 1000, 1.58396
 1000, 1.58883
 1000, 1.58789
 1000, 1.58659
 1000, 1.58592
 1000, 1.58848
 1000, 1.58886
 1000, 1.58912
 1000, 1.5883
 1000, 1.58457
 1000, 1.58907
 1000, 1.58889
 1000, 1.58861
 1000, 1.58856
 1000, 1.58829
 1000, 1.58869
 1000, 1.58873
 1000, 1.58819
 1000, 1.58871
 1000, 1.58832
 1000, 1.58865
 1000, 1.58879
 1000, 1.5888
 1000, 1.58905
 1000, 1.58931
 1000, 1.58874
 1000, 1.58841
 1000, 1.58833
# Running code with OMP_NUM_THREADS= 16
#  N=  , time (s)
 1000, 1.20262
 1000, 1.19372
 1000, 1.19556
 1000, 1.19451
 1000, 1.19673
 1000, 1.19818
 1000, 1.19568
 1000, 1.19665
 1000, 1.19919
 1000, 1.19504
 1000, 1.19446
 1000, 1.1989
 1000, 1.19678
 1000, 1.19402
 1000, 1.19917
 1000, 1.1937
 1000, 1.19606
 1000, 1.19712
 1000, 1.19422
 1000, 1.19431
 1000, 1.19346
 1000, 1.19412
 1000, 1.19438
 1000, 1.19724
 1000, 1.19388
 1000, 1.19641
 1000, 1.194
 1000, 1.19261
 1000, 1.19627
 1000, 1.19385
 1000, 1.1939
 1000, 1.19508
 1000, 1.19416
 1000, 1.19288
 1000, 1.19562
 1000, 1.19296
 1000, 1.19265
 1000, 1.19228
 1000, 1.1966
 1000, 1.19349
 1000, 1.19258
 1000, 1.19223
 1000, 1.19403
 1000, 1.19464
 1000, 1.19331
 1000, 1.19389
 1000, 1.19253
 1000, 1.1939
 1000, 1.19372
 1000, 1.19571
 1000, 1.19432
 1000, 1.19303
 1000, 1.19289
 1000, 1.19298
 1000, 1.19259
 1000, 1.19308
 1000, 1.1938
 1000, 1.19254
 1000, 1.19321
 1000, 1.19608
 1000, 1.19555
 1000, 1.19563
 1000, 1.19925
 1000, 1.19676
 1000, 1.19605
 1000, 1.19521
 1000, 1.19572
 1000, 1.19659
 1000, 1.19574
 1000, 1.19637
 1000, 1.19668
 1000, 1.19559
 1000, 1.19639
 1000, 1.19543
 1000, 1.19645
 1000, 1.19554
 1000, 1.19643
 1000, 1.19645
 1000, 1.19545
 1000, 1.19635
 1000, 1.19542
 1000, 1.1967
 1000, 1.19507
 1000, 1.19678
 1000, 1.19596
 1000, 1.19643
 1000, 1.19954
 1000, 1.19671
 1000, 1.19572
 1000, 1.19549
slurmstepd: error: *** JOB 33066033 ON lac-307 CANCELLED AT 2024-03-25T12:13:31 DUE TO TIME LIMIT ***
