Lmod Warning: Input module (gcc) not found, using module: GCC . . . (ICER v.) 


# Running code with OMP_NUM_THREADS= 16
#  N=  , time (s)
   Priority=62273 Nice=0 Account=general QOS=freem386
   JobState=RUNNING Reason=None Dependency=(null)
   Requeue=1 Restarts=0 BatchFlag=1 Reboot=0 ExitCode=0:0
   RunTime=00:05:37 TimeLimit=00:59:00 TimeMin=N/A
   SubmitTime=2024-03-25T13:18:55 EligibleTime=2024-03-25T13:18:55
   AccrueTime=2024-03-25T13:18:55
   StartTime=2024-03-25T13:19:07 EndTime=2024-03-25T14:18:07 Deadline=N/A
   SuspendTime=None SecsPreSuspend=0 LastSchedEval=2024-03-25T13:19:07 Scheduler=Main
   Partition=general-short AllocNode:Sid=dev-intel18:17972
   ReqNodeList=(null) ExcNodeList=(null)
   NodeList=lac-074
   BatchHost=lac-074
   NumNodes=1 NumCPUs=24 NumTasks=1 CPUs/Task=24 ReqB:S:C:T=0:0:*:*
   ReqTRES=cpu=24,mem=1G,node=1,billing=155
   AllocTRES=cpu=24,mem=1G,node=1,billing=155
   Socks/Node=* NtasksPerN:B:S:C=0:0:*:* CoreSpec=*
   MinCPUsNode=24 MinMemoryNode=1G MinTmpDiskNode=0
   Features=[intel14|intel16|intel18|(amr|acm)|nvf|nal|nif] DelayBoot=00:00:00
   OverSubscribe=OK Contiguous=0 Licenses=(null) Network=(null)
   Command=/mnt/ufs18/home-241/freem386/project-4-openmp-intro-seven-c-s/Freem_Work/submission.sb
   WorkDir=/mnt/ufs18/home-241/freem386/project-4-openmp-intro-seven-c-s/Freem_Work
   Comment=stdout=/mnt/ufs18/home-241/freem386/project-4-openmp-intro-seven-c-s/Freem_Work/slurm-33070822.out 
   StdErr=/mnt/ufs18/home-241/freem386/project-4-openmp-intro-seven-c-s/Freem_Work/slurm-33070822.out
   StdIn=/dev/null
   StdOut=/mnt/ufs18/home-241/freem386/project-4-openmp-intro-seven-c-s/Freem_Work/slurm-33070822.out
   Power=
   

