Lmod Warning: Input module (gcc) not found, using module: GCC . . . (ICER v.) 


# Running code with OMP_NUM_THREADS= 1
#  N=  , time (s)
  100, 0.002169
  100, 0.002166
  100, 0.002175
  100, 0.002381
  100, 0.002274
  100, 0.002172
  100, 0.002345
  100, 0.002234
  100, 0.002282
  100, 0.00225
  100, 0.002235
  100, 0.00245
  100, 0.002203
  100, 0.002468
  100, 0.002201
  100, 0.002241
  100, 0.002184
  100, 0.00236
  100, 0.002443
  100, 0.002182
  100, 0.002516
  100, 0.002257
  100, 0.002294
  100, 0.002175
  100, 0.002174
  100, 0.002214
  100, 0.002183
  100, 0.002575
  100, 0.002317
  100, 0.002226
  100, 0.002182
  100, 0.002175
  100, 0.002334
  100, 0.002376
  100, 0.002186
  100, 0.002267
  100, 0.002436
  100, 0.002176
  100, 0.002252
  100, 0.002181
  100, 0.002314
  100, 0.002291
  100, 0.002233
  100, 0.002478
  100, 0.002255
  100, 0.002296
  100, 0.002204
  100, 0.0022
  100, 0.002191
  100, 0.002166
  100, 0.00242
  100, 0.002249
  100, 0.002273
  100, 0.002243
  100, 0.002177
  100, 0.002187
  100, 0.002178
  100, 0.002282
  100, 0.002177
  100, 0.002218
  100, 0.002379
  100, 0.002297
  100, 0.002212
# Running code with OMP_NUM_THREADS= 12
#  N=  , time (s)
  100, 0.001922
  100, 0.001528
  100, 0.001534
  100, 0.001559
  100, 0.001528
  100, 0.001519
  100, 0.001518
  100, 0.001524
  100, 0.001512
  100, 0.001531
  100, 0.001679
  100, 0.001537
  100, 0.001517
  100, 0.001533
  100, 0.001794
  100, 0.001537
  100, 0.001508
  100, 0.001527
  100, 0.001865
  100, 0.00153
  100, 0.001521
  100, 0.001517
  100, 0.001547
  100, 0.001533
  100, 0.001517
  100, 0.001511
  100, 0.001514
  100, 0.001517
  100, 0.00185
  100, 0.001528
  100, 0.001518
  100, 0.001622
  100, 0.001531
  100, 0.001512
  100, 0.001523
  100, 0.001584
  100, 0.001529
  100, 0.00152
  100, 0.001537
  100, 0.001712
  100, 0.001531
  100, 0.001517
  100, 0.001509
  100, 0.001517
  100, 0.001518
  100, 0.001516
  100, 0.001515
  100, 0.00152
  100, 0.001514
  100, 0.001603
  100, 0.001648
  100, 0.00153
  100, 0.001513
  100, 0.00152
  100, 0.001512
  100, 0.001524
  100, 0.001604
  100, 0.001534
  100, 0.001517
  100, 0.001526
  100, 0.001513
  100, 0.001528
  100, 0.001641
  100, 0.001529
  100, 0.001523
  100, 0.001513
  100, 0.00157
  100, 0.00153
  100, 0.001518
  100, 0.001513
  100, 0.001529
  100, 0.001523
  100, 0.001621
  100, 0.001544
  100, 0.001511
  100, 0.001515
  100, 0.001515
  100, 0.001515
  100, 0.001522
  100, 0.001518
  100, 0.00152
  100, 0.00152
  100, 0.001511
  100, 0.001521
  100, 0.001813
  100, 0.00153
  100, 0.001513
  100, 0.001518
  100, 0.001524
  100, 0.00152
  100, 0.001522
  100, 0.001509
  100, 0.001522
  100, 0.001615
  100, 0.001521
  100, 0.001517
  100, 0.001521
  100, 0.001514
  100, 0.001509
  100, 0.00154
# Running code with OMP_NUM_THREADS= 16
#  N=  , time (s)
  100, 0.001688
  100, 0.001199
  100, 0.001185
  100, 0.001189
  100, 0.001183
  100, 0.001301
  100, 0.001199
  100, 0.001251
  100, 0.0012
  100, 0.001183
  100, 0.001183
  100, 0.001181
  100, 0.001181
  100, 0.001184
  100, 0.00137
  100, 0.001193
  100, 0.001186
  100, 0.001185
  100, 0.001184
  100, 0.001193
  100, 0.001186
  100, 0.001186
  100, 0.001198
  100, 0.001229
  100, 0.001189
  100, 0.00119
  100, 0.001184
  100, 0.001181
  100, 0.001188
  100, 0.001181
  100, 0.001182
  100, 0.001423
  100, 0.001203
  100, 0.001188
  100, 0.001519
  100, 0.001213
  100, 0.001186
  100, 0.001185
  100, 0.00119
  100, 0.001181
  100, 0.001183
  100, 0.001293
  100, 0.001192
  100, 0.001192
  100, 0.001186
  100, 0.00118
  100, 0.001184
  100, 0.001188
  100, 0.001185
  100, 0.001182
  100, 0.001196
  100, 0.001282
  100, 0.001192
  100, 0.00119
  100, 0.001191
  100, 0.001523
  100, 0.001189
  100, 0.001179
  100, 0.00118
  100, 0.001185
  100, 0.001181
  100, 0.001182
  100, 0.001181
  100, 0.001187
  100, 0.001184
  100, 0.001182
  100, 0.001189
  100, 0.001296
  100, 0.0012
  100, 0.001182
  100, 0.001189
  100, 0.001181
  100, 0.001179
  100, 0.001187
  100, 0.001187
  100, 0.001182
  100, 0.001179
  100, 0.001181
  100, 0.001292
  100, 0.001192
  100, 0.001194
  100, 0.001183
  100, 0.00118
  100, 0.00118
  100, 0.00118
  100, 0.001178
  100, 0.001182
  100, 0.001197
  100, 0.001186
  100, 0.001182
  100, 0.001182
  100, 0.001183
  100, 0.001305
  100, 0.001194
  100, 0.00118
  100, 0.001182
  100, 0.001182
  100, 0.001184
  100, 0.001187
  100, 0.001181
# Running code with OMP_NUM_THREADS= 20
#  N=  , time (s)
  100, 0.00136
  100, 0.00087
  100, 0.000866
  100, 0.000874
  100, 0.001048
  100, 0.000873
  100, 0.000864
  100, 0.000864
  100, 0.000868
  100, 0.000862
  100, 0.000853
  100, 0.00087
  100, 0.001014
  100, 0.000871
  100, 0.000862
  100, 0.000865
  100, 0.000866
  100, 0.000881
  100, 0.000948
  100, 0.000876
  100, 0.000867
  100, 0.000861
  100, 0.000868
  100, 0.000861
  100, 0.000863
  100, 0.000862
  100, 0.000862
  100, 0.000865
  100, 0.000863
  100, 0.00086
  100, 0.000861
  100, 0.000862
  100, 0.000878
  100, 0.000991
  100, 0.000867
  100, 0.000867
  100, 0.000866
  100, 0.000866
  100, 0.000866
  100, 0.000853
  100, 0.000862
  100, 0.000861
  100, 0.00086
  100, 0.000859
  100, 0.000862
  100, 0.000863
  100, 0.00086
  100, 0.000862
  100, 0.00086
  100, 0.000855
  100, 0.000865
  100, 0.000869
  100, 0.000864
  100, 0.000864
  100, 0.000866
  100, 0.000863
  100, 0.000863
  100, 0.000863
  100, 0.000862
  100, 0.00088
  100, 0.000863
  100, 0.00086
  100, 0.00086
  100, 0.00086
  100, 0.000861
  100, 0.000862
  100, 0.000861
  100, 0.000861
  100, 0.000859
  100, 0.000862
  100, 0.000859
  100, 0.000878
  100, 0.000959
